,Unnamed: 0,Comments,Sac_score,sentiment,Emotions,Emotions_label,Emoji_name,emojis
38,38,Not interested  😜,1,-1,anger,4,winking face with tongue,😜
39,39,Hard worker  😝,1,-1,fear,5,squinting face with tongue,😝
40,40,Nw u should giv me ur ATM card  😝,1,0,anger,4,squinting face with tongue,😝
41,41,hyperactive  😝😜,1,0,anger,4,"squinting face with tongue,winking face with tongue",😝😜
42,42,I always thought of you as out of the earth type of guy  😝,1,0,fear,5,squinting face with tongue,😝
43,43,All rounder  😜,1,0,joy,2,winking face with tongue,😜
44,44,But you all call yourself as Selfie Queens x000D  x000D So I am just saying don t call yourself anymore until you haven t taken such selfie  😂😜,1,0,joy,2,"FACE WITH TEARS OF JOY,winking face with tongue",😂😜
45,45,Anil Kumar x000D I was gonna say that but there was one more who was more than me So I thought of being selfless and giving them the award  😛😂,1,0,joy,2,"face with tongue,FACE WITH TEARS OF JOY",😛😂
46,46,I don t wnna try this better for uh take it n upload m waiting for uh  😝,1,0,fear,5,squinting face with tongue,😝
47,47,iPhone owner Pretty face and Still single  😝,1,1,joy,2,squinting face with tongue: 1,😝
48,48,But i can wear same shirt for 10 days thanks perfume  😂,1,0,joy,2,FACE WITH TEARS OF JOY: 1,😂
49,49,Woww  😱,0,1,surprise,6,FACE SCREAMING IN FEAR: 1,😱
50,50,Boys logic  😂,0,0,joy,2,FACE WITH TEARS OF JOY: 1,😂
51,51,2 minutes of silence for those who are thinking hard to comment something special to get more likes including me  😂,0,0,joy,2,FACE WITH TEARS OF JOY: 2,😂
52,52,Girls do the same thing  😕,0,0,joy,2,CONFUSED FACE: 1,😕
53,53,So true  😀,0,0,joy,2,GRINNING FACE: 1,😀
54,54,Thank you for everything  😅,0,0,joy,2,grinning face with sweat: 1,😅
55,55,I m class bunker  😂,0,0,fear,5,FACE WITH TEARS OF JOY: 1,😂
56,56,Same as your comment  😂😄,0,0,joy,2,"FACE WITH TEARS OF JOY: 1, grinning face with smiling eyes: 1",😂😄
57,57,Hahahaha yes I m not  😂,0,0,joy,2,FACE WITH TEARS OF JOY: 1,😂
58,58,This is a totally another level x000D x000D x000D Never happening  🙈,0,0,anger,4,SEE-NO-EVIL MONKEY: 2,🙈
59,59,I was part of the gossiping group lol  😂,0,0,anger,4,FACE WITH TEARS OF JOY: 1,😂
60,60,I even had a kicking machine hope u remember  😂,0,0,anger,4,FACE WITH TEARS OF JOY: 1,😂
61,61,Yeah I am not a selfie queen so I better not try this  😐,0,0,joy,2,NEUTRAL FACE: 1,😐
62,62,I never did this okay  😐,0,0,joy,2,NEUTRAL FACE: 2,😐
63,63,I never said i was one  😐,0,0,anger,4,NEUTRAL FACE: 1,😐
64,64,Been there Done that  😐,0,0,sadness,1,NEUTRAL FACE: 1,😐
65,65,What is this  😐,0,0,fear,5,NEUTRAL FACE: 1,😐
66,66,Different  😐,0,0,anger,4,NEUTRAL FACE: 1,😐
67,67,I know  😐,0,0,joy,2,NEUTRAL FACE: 1,😐
68,68,Nahhh  😐,0,0,anger,4,NEUTRAL FACE: 1,😐
69,69,all days are boring  😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 2,😂
70,70,I don t think that much I just smell it and wear  😂,0,-1,joy,2,FACE WITH TEARS OF JOY: 1,😂
71,71,Hahaha your mom will be sad when somebody tell her that her son smell not good bcs keep to wear the same clothes for few days  😃,0,-1,sadness,1,grinning face with big eyes: 1,😃
72,72,Think about that Really feel the pain x000D x000D Give me 500likes 😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 2,😂
73,73,Haha sorry it s just a joke bcz we are looking forward for smell today s topic  😎,0,-1,joy,2,SMILING FACE WITH SUNGLASSES: 1,😎
74,74,Hell yeah  😎,0,-1,joy,2,SMILING FACE WITH SUNGLASSES: 1,😎
75,75,Read all the sentences in order x000D x000D This is this cat x000D x000D This is is cat x000D x000D This is how cat x000D x000D This is to cat x000D x000D This is keep cat x000D x000D This is an cat x000D x000D This is idiot cat x000D x000D This is busy cat x000D x000D This is for cat x000D x000D This is thirty cat x000D x000D This is seconds cat x000D x000D  x000D x000D Now go back and read third word of each sentence  😊,0,-1,anger,4,SMILING FACE WITH SMILING EYES: 2,😊
76,76,You are a biggest fool x000D x000D Because you have written that  😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 2,😂
77,77,u should be depressed  😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 1,😂
78,78,Its bullshit  😂,0,-1,anger,4,FACE WITH TEARS OF JOY: 2,😂
79,79,The worst comment in this post is the one above mine x000D x000D Make change if sarcasm put yours above mine  😂,1,-1,anger,4,FACE WITH TEARS OF JOY: 1,😂
80,80,Idiot the bank will never gave that pin because they use 5 numbers  😂,0,-1,fear,5,FACE WITH TEARS OF JOY: 2,😂
81,81,Change Ur pin number bitch  😂,0,-1,anger,4,FACE WITH TEARS OF JOY: 2,😂
82,82,Think about that Really feel the pain x000D x000D Give me 500likes 😂,1,-1,sadness,1,FACE WITH TEARS OF JOY: 2,😂
83,83,Sad indeed  😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 1,😂
84,84,Then change your pin asshole  😂,0,-1,fear,5,FACE WITH TEARS OF JOY: 1,😂
85,85,Go to hell  😂,0,-1,fear,5,FACE WITH TEARS OF JOY: 1,😂
86,86,Stupid No bank generates a pin that in reverse is the same This sarcasm is a lie 😂,1,-1,sadness,1,FACE WITH TEARS OF JOY: 1,😂
87,87,Break your card  😂,0,-1,anger,4,FACE WITH TEARS OF JOY: 1,😂
88,88,Go N die  😂,0,-1,fear,5,FACE WITH TEARS OF JOY: 1,😂
89,89,I think the mobile camera pic is real n then with new bullshit apps they have decorated the face n background  😂,0,-1,joy,2,FACE WITH TEARS OF JOY: 1,😂
90,90,Today I saw two blind people fighting then I shouted I m supporting the one with the knife they both ran away  😂,0,-1,joy,2,FACE WITH TEARS OF JOY: 1,😂
91,91,It was a huge disappointment in the history of humanity People are being killed in thousands and nobody cares the Burmese Government under the leadership of Suuki are committing genocide by slaughtering Rohinges Just in three days over 3000 people were killed and the UN has not said anything yet These people are being persecuted for one thing because they choose to be Muslim x000D x000D  x000D x000D Shame Less United Nations x000D x000D Shame Less Eroupiun union x000D x000D Shame Less Muslim Word x000D x000D Shame Less OIC Arab world x000D x000D Where Is The World Humanity x000D x000D  x000D x000D  StopkillingMuslimsinBurma  😡,0,-1,anger,4,POUTING FACE: 1,😡
92,92,It s false  😂,0,-1,anger,4,FACE WITH TEARS OF JOY: 2,😂
93,93,Oops I am none of the above  😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 2,😂
94,94,Stressed out  😂,0,-1,sadness,1,FACE WITH TEARS OF JOY: 1,😂
95,95,Singer a bad singer and stressed out  💔,0,-1,sadness,1,BROKEN HEART: 1,💔
96,96,So we backbenchers are not even counted in the class how rude  😢,0,-1,anger,4,CRYING FACE: 1,😢
97,97,Stressed out of earth  😢😂,0,-1,sadness,1,"CRYING FACE: 1, FACE WITH TEARS OF JOY: 1",😢😂
98,98,When did I evn take a selfie liar  😕😡,0,-1,anger,4,"CONFUSED FACE: 1, POUTING FACE: 1",😕😡
99,99,Am not that desperate dude  😕,0,-1,sadness,1,CONFUSED FACE: 1,😕
100,100,Catherine Mary I cry  💔,0,-1,anger,4,BROKEN HEART: 1,💔
101,101,Same if I try this the door will break  😢,0,-1,fear,5,CRYING FACE: 1,😢
102,102,u stupid Binita Magar i am not selfie addicted  😠,0,-1,sadness,1,ANGRY FACE: 2,😠
103,103,Idiot  😠,0,-1,anger,4,ANGRY FACE: 1,😠
104,104,all of these tweets have me like foreverafan  😭,0,0,anger,4,{'LOUDLY CRYING FACE': 1},😭
105,105, 100 thank you for keeping my dm alive despite of me being an awkward species lets talk more in the future  😂💟,0,-1,sadness,1,"{'FACE WITH TEARS OF JOY': 1, 'HEART DECORATION': 1}",😂💟
106,106, hey jennifer thats great10 for 35 at vs til midnight amp i have no money isnt gab very racist 94 diego for killing the movie i asked for my friend back and couldn t even get that man he s not holding her legion im so tired of her doing this to us all my friends are in town lmaoooo on baby 011283 is that my dad pouting hallmark christmas movies seem to be very generic and not really much to do with christmasbut i still love the and the goptaxscam will only make this worse i love how the only time a friend calls text is when they want something they seem to have  😭😕😡,0,-1,anger,4,"{'LOUDLY CRYING FACE': 1, 'CONFUSED FACE': 3, 'POUTING FACE': 2}",😭😕😡
107,107,sorry for bringing education into it  😜,1,0,sadness,1,{'winking face with tongue': 1},😜
108,108,all that pillow talking shit dead fr let me know some 😭,0,-1,anger,4,{'LOUDLY CRYING FACE': 1},😭
109,109,all this guy does is make me laugh official ninjalevels  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
110,110,all i saw was helga rescuing gerald s shoe the poor boy and helga saying she has seen better shrines for arnold lmao bye  😂,0,-1,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
111,111,blessicaaax3 im convinced u dont get enough but u talkin bout me doe  😕💯,0,0,joy,2,"{'CONFUSED FACE': 1, 'hundred points': 1}",😕💯
112,112, lovely to see ant and dec back again both looking as great as ever looking forward to watching the celebs squirm  😜😀,1,1,joy,2,"{'winking face with tongue': 1, 'GRINNING FACE': 1}",😜😀
113,113, must be spooning velcro girl so  😜,1,0,fear,5,{'winking face with tongue': 1},😜
114,114,just wanna go back to normal  😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
115,115,also me and my pikachu are adorable  😭,0,1,joy,2,{'LOUDLY CRYING FACE': 1},😭
116,116,hate when we have guests and they dont want to leave all the way fr all that and he still got called oomf  😂,0,-1,anger,4,{'FACE WITH TEARS OF JOY': 2},😂
117,117,big hero 6 was a great movie omg i cried so much  😭,0,1,joy,2,{'LOUDLY CRYING FACE': 1},😭
118,118, give my wife free glasses please  😍😡,0,0,joy,2,"{'smiling face with heart-eyes': 1, 'POUTING FACE': 1}",😍😡
119,119, watch this video it will make you smile  👬❤😍,0,1,joy,2,"{'men holding hands': 1, 'red heart': 1, 'smiling face with heart-eyes': 1}",👬❤😍
120,120,and i need my nails done  😭,0,0,sadness,1,{'LOUDLY CRYING FACE': 1},😭
121,121,damn rhymes aka randy moss ain t here this holiday  😕,0,-1,anger,4,{'CONFUSED FACE': 1},😕
122,122, i feel a way about being compared to ricky smiley lol  😡,0,1,anger,4,{'POUTING FACE': 1},😡
123,123,104glen deffo timmy  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
124,124, my hair is getting so gray  😭,0,0,sadness,1,{'LOUDLY CRYING FACE': 1},😭
125,125, looks like im not changing my number  😂,0,0,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
126,126,all my female cousins ghetto asl amp my male cousins hood asf amp i fit right in lmaoooo 😭,0,0,joy,2,{'LOUDLY CRYING FACE': 1},😭
127,127,amas i want to watch  😭,0,0,joy,2,{'LOUDLY CRYING FACE': 1},😭
128,128,a lot of cowboys slander on tl  😕,0,-1,anger,4,{'CONFUSED FACE': 1},😕
129,129, just heard they won t be coming to our house until tomorrow so no internet or tv  😕,0,1,fear,5,{'CONFUSED FACE': 1},😕
130,130,i will never get the saying ignorance is bliss never  😕,0,1,joy,2,{'CONFUSED FACE': 1},😕
131,131,also my bed and my food  😜,1,0,anger,4,{'winking face with tongue': 1},😜
132,132,101greatgoals he s also not saved a penalty yet but your point is  😂,0,-1,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
133,133,i hope i dont work thanksgiving  😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
134,134,happy birthday bebeq u know how much iloveyouuu thankyou for everything uve done andito lang ako palagi for u  💕😜,1,1,joy,2,"{'TWO HEARTS': 1, 'winking face with tongue': 1}",💕😜
135,135, try being sympathetic for once  😡,0,-1,love,3,{'POUTING FACE': 1},😡
136,136,already knew big sis answer  😭,0,0,fear,5,{'LOUDLY CRYING FACE': 1},😭
137,137,tweets without preeti it feels so incomplete  😭,0,-1,sadness,1,{'LOUDLY CRYING FACE': 1},😭
138,138, ladies we best be getting drunk this week at least once  😂,0,1,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
139,139,4 xmas lists and random ones by my brother  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
140,140, i think its time for an intervention  😜,1,-1,joy,2,{'winking face with tongue': 1},😜
141,141,i just cracked my screen somemore l can not wait till my x get here 😡,0,0,fear,5,{'POUTING FACE': 1},😡
142,142, brown how comes nobody is saying they were wrong to go steal from that store  😡,0,-1,anger,4,{'POUTING FACE': 1},😡
143,143,alll i want is somebody that s loyal  😕,0,1,love,3,{'CONFUSED FACE': 1},😕
144,144,alllll for that shit  😂,0,-1,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
145,145, aye look tell yo manager what it is he gone put me on the schedule and it s lit  😂,0,0,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
146,146,7johnj1989 mate you panic if your fake tan running low how the fuck would you cope eating a kangaroos dick x 😂,0,-1,fear,5,{'FACE WITH TEARS OF JOY': 1},😂
147,147,30 more mins and i can run away from this office it s so weird to have 3 hour days though  😂,0,-1,fear,5,{'FACE WITH TEARS OF JOY': 1},😂
148,148,and look at his hat hes clearly a jackass  😭,0,0,fear,5,{'LOUDLY CRYING FACE': 1},😭
149,149,i gotta find a fit for my moms wedding reception iono what shoes ima wear 😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
150,150,doin the c jo prince of peace lutheran church phoenix az  😜,1,0,joy,2,{'winking face with tongue': 1},😜
151,151,let s get it  😜,1,0,joy,2,{'winking face with tongue': 1},😜
152,152,close enough  😜,1,0,anger,4,{'winking face with tongue': 1},😜
153,153,i m not the same person i used to be and idk how i feel about that  😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
154,154,although my little sister can be a brat she never fails to always make me feel good about myself seriously don t  😭,0,-1,joy,2,{'LOUDLY CRYING FACE': 1},😭
155,155, grab your things is such a good fic  😭,0,0,joy,2,{'LOUDLY CRYING FACE': 1},😭
156,156, long time no see  😭,0,0,anger,4,{'LOUDLY CRYING FACE': 1},😭
157,157,7thwavegames wow i said almost the exact same thing a year ago weird i don t remember saying that no churro for you it does 11tkm00xv only prompto is safe007graul i m just gonna have to accept it 5 weeks into the strike now they wanna decide to end it its just setting us up for failure fc thats amazing alsohoe sad is it that 1860 munich are now in the forrh tier hey shall getting ready eagles football let go mellis just a thought yeah nothing like live hockey 😳😕😡😜😂,1,-1,surprise,6,"{'FLUSHED FACE': 1, 'CONFUSED FACE': 1, 'POUTING FACE': 1, 'winking face with tongue': 1, 'FACE WITH TEARS OF JOY': 1}",😳😕😡😜😂
158,158,if i ever have a fight again i think i ll hurt somebody  😕,0,-1,anger,4,{'CONFUSED FACE': 1},😕
159,159,19kaz89 thank you and i hope the same for you too excited for the moment  😂,0,1,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
160,160,i think she has a pretty pussy and an amazing ass so who admits to fapping to it i do  😜,1,1,joy,2,{'winking face with tongue': 1},😜
161,161, witchhunt remain is the campaign that looked dodgy from the start 😡,0,-1,anger,4,{'POUTING FACE': 1},😡
162,162, also sorry for the spoilers  😜,1,-1,sadness,1,{'winking face with tongue': 1},😜
163,163,and she still talks about how he was the love of her life thats fucking goals people nothing else im all up in my feels right now  😭,0,1,joy,2,{'LOUDLY CRYING FACE': 1},😭
164,164,all i ve wanted all day is pancakes with strawberries and whip cream  😭,0,-1,joy,2,{'LOUDLY CRYING FACE': 1},😭
165,165, and billions of dead toxic batteries and chemicals in our landfills yay  😡,0,-1,sadness,1,{'POUTING FACE': 1},😡
166,166,way to set ppl up 4 failure 4 their whole life dragonball xenoverse is kicking my ass rn as if i actually saw mac demarco tonight jaz made stuffed peppers for dinner a broken thumb that ll stop him kicking a ball does this mean that we get both ogyi filhal tou earth per lfc ch really omg thanks to quote bill o reilly fk it we ll do it live schumacher messed up trump lied again and she d think sneezing was the funniest thing latrice i unfollowed that cheat i have two cats and two dogs never a dull moment here all i neeed we still cheetah girls after all these year i really would like some chocolate but i cant he s just jealous also 😭😂😜😡,1,-1,anger,4,"{'LOUDLY CRYING FACE': 1, 'FACE WITH TEARS OF JOY': 2, 'winking face with tongue': 2, 'POUTING FACE': 3}",😭😂😜😡
167,167, i found this at home sense and thought of you  😜,1,0,joy,2,{'winking face with tongue': 1},😜
168,168,amir thinking hot water gives off smoke imaceleb 😭,0,1,anger,4,{'LOUDLY CRYING FACE': 1},😭
169,169,door vamoosh violin book 1 sheet music cd learn beginners tutor method easy new  😡,0,1,joy,2,{'POUTING FACE': 1},😡
170,170, 1996 lee123 i want to cry all good but i mean omg  😭,0,-1,joy,2,{'LOUDLY CRYING FACE': 1},😭
171,171,i hate when i feel weird like this  😕,0,-1,surprise,6,{'CONFUSED FACE': 1},😕
172,172,hey you nasty bitches its the first snowfall of the year and you know what that means dic  💋😜,1,-1,anger,4,"{'KISS MARK': 1, 'winking face with tongue': 1}",💋😜
173,173, nooooo thank you anyway love ya  😭💓,0,1,love,3,"{'LOUDLY CRYING FACE': 1, 'BEATING HEART': 1}",😭💓
174,174,all my mates are bad influences  😂,0,-1,sadness,1,{'FACE WITH TEARS OF JOY': 1},😂
175,175, another hint for those of us who are slow at this time of day  😜,1,0,anger,4,{'winking face with tongue': 1},😜
176,176,21st century debates  😂,0,0,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
177,177,1000 fuck words i heard in just one day fuck 😂,0,-1,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
178,178,all the niggas i gave money to was my boyfriends though 😭,0,0,anger,4,{'LOUDLY CRYING FACE': 1},😭
179,179,all im trying to get in this life  😭,0,0,joy,2,{'LOUDLY CRYING FACE': 1},😭
180,180,in the forth month you can just see yourself getting bigger im uncomfortable  😕,0,0,fear,5,{'CONFUSED FACE': 1},😕
181,181, good going that pal dont be getting any ideas of doing the same next week though  😜,1,0,joy,2,{'winking face with tongue': 1},😜
182,182, nope i m probably gonna go alone 😕,0,0,sadness,1,{'CONFUSED FACE': 1},😕
183,183, pretty sure he s saying he s repealing the van  😡,0,1,joy,2,{'POUTING FACE': 1},😡
184,184, oh you re never ever forgetting it  😜,1,0,sadness,1,{'winking face with tongue': 1},😜
185,185,definitely  ❤,0,0,joy,2,{'red heart': 1},❤
186,186,accurate af  😂,0,1,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
187,187,u know what u mean for me  ❤,0,0,joy,2,{'red heart': 1},❤
188,188,about to get molly whopped in this gb  😂,0,0,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
189,189,interview next week with a company i may or may not have worked at before  😜,1,0,fear,5,{'winking face with tongue': 1},😜
190,190, awhh noo thats sad  😕,0,-1,sadness,1,{'CONFUSED FACE': 1},😕
191,191,1800entity ayeeeee i honestly love that part hahahaha you get to use the lightsaber  😭,0,1,joy,2,{'LOUDLY CRYING FACE': 1},😭
192,192,my daughter so fuckin bad lately i aint even claiming her ass  😡,0,-1,anger,4,{'POUTING FACE': 1},😡
193,193, ellen not a clue i m afraid there are plenty of photos but i wouldn t know wher  😕,0,-1,fear,5,{'CONFUSED FACE': 1},😕
194,194,2 maybe i was a bit too good with my hair product haul last week  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
195,195,50 cent still thinks its a movie  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 3},😂
196,196,i hate feelin ignored bra  😡,0,-1,sadness,1,{'POUTING FACE': 1},😡
197,197,all the time  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
198,198,all these beard growing products make me laugh you just gotta eat pussy fam you cant be afraid you gotta tell her to sit all on yo face 😂,0,-1,fear,5,{'FACE WITH TEARS OF JOY': 1},😂
199,199,gotta keep em coming all the time  😜,1,0,joy,2,{'winking face with tongue': 1},😜
200,200,damn i honestly thought she had already passed  😕,0,-1,sadness,1,{'CONFUSED FACE': 1},😕
201,201, i m going to be flipping between the phivsdal game and the twd but i have a feeling i ll end up staying at twd  😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
202,202, i was just being facetious  😜,1,-1,anger,4,{'winking face with tongue': 1},😜
203,203,19 my actually age  😂,0,0,fear,5,{'FACE WITH TEARS OF JOY': 1},😂
204,204, lovin is why i tweeted this  😂,0,1,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
205,205,i ve run out of sleeping tablets  😕,0,0,fear,5,{'CONFUSED FACE': 1},😕
206,206,when your pregnant you gain weight for a reason and its nothing to be ashamed of  😡,0,-1,sadness,1,{'POUTING FACE': 1},😡
207,207,great new pic of and friends including thanks for posting  😜,1,1,joy,2,{'winking face with tongue': 1},😜
208,208,i mean it could be worse  😕,0,-1,anger,4,{'CONFUSED FACE': 1},😕
209,209, its a gift n a curse  😕,0,-1,joy,2,{'CONFUSED FACE': 1},😕
210,210,i m stressed at this game  😡,0,-1,anger,4,{'POUTING FACE': 1},😡
211,211,dang this slick hurt seein this  😕,0,-1,joy,2,{'CONFUSED FACE': 1},😕
212,212,lafierce girl yes it was my cousin and her sisters 😂,0,0,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
213,213,damn when they die  😕,0,-1,sadness,1,{'CONFUSED FACE': 1},😕
214,214, woe betide your aerial wasnt perfect wonkydonkey  😜,1,0,joy,2,{'winking face with tongue': 1},😜
215,215, midnight snacks is how i roll  😜,1,0,anger,4,{'winking face with tongue': 1},😜
216,216,7hours of sleep was just divided into two 4hours in the night and 3hours in the morning sleeplikeaboss  😂,0,0,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
217,217, yes like real ones like the mom an pop ones except for flower city i need chow mein now  😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
218,218,29burghlove87 hope you live longer than sams other relationships id miss you  😂,0,0,joy,2,{'FACE WITH TEARS OF JOY': 1},😂
219,219, n alonzo why i have randomly been seeing you commenting on tweets go edit a damn video lol 😂,0,-1,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
220,220, there is no forking hope for us  😡,0,0,joy,2,{'POUTING FACE': 1},😡
221,221, you a liar you don t ask me this when you nutmeg me and make me do the splits  😂,0,-1,anger,4,{'FACE WITH TEARS OF JOY': 1},😂
222,222,show us the list we paid for it  😡,0,0,anger,4,{'POUTING FACE': 1},😡
223,223,im so pissed i didnt go to snails  😡,0,-1,anger,4,{'POUTING FACE': 1},😡
224,224, i want the gift card  😭,0,0,joy,2,{'LOUDLY CRYING FACE': 1},😭
225,225, guess its the binrenato movement now  😕,0,0,fear,5,{'CONFUSED FACE': 1},😕
226,226,mood asf  😡,0,0,joy,2,{'POUTING FACE': 1},😡
227,227, the only thing i hate about it is how you can barely hear the bridge  😕,0,-1,anger,4,{'CONFUSED FACE': 1},😕
228,228, catching chill vibes at  😜,1,0,joy,2,{'winking face with tongue': 1},😜
229,229,as if i didnt know peter kay was touring and ive missed out on something ive been waiting for since i can remember  😭,0,0,sadness,1,{'LOUDLY CRYING FACE': 1},😭
230,230,jim halpert turns to camera  😕,0,0,joy,2,{'CONFUSED FACE': 1},😕
231,231,cake cake cake cake wordsofwisdom from katiecakes ofc my phone is dying before work miss my babes get your livers ready we re bringing theratchback sagseason turkey74 then youll lose 4 2coolsosmooth he bout to have a field day when he log on i can t wait miss my beddy boo already 10 times people got trolled by food pranks by funnytweetslmo via it comes naturally to get into bed no matter what time it is once i brush my teeth and floss i m supposed to be going to the gym but i m getting tired thinking about it guess i ll go back to sleep nothing else to do amp nobody to talk to thanks baddie ilyt and imyt she gives ambiguous answers im beginning to think shes a trumper 80 did go ghost coulduseanexorcist to get rid of those negative thoughts i sometimes feel all i want for christmas is my two front teeth jquint11 thats an incredibly sad story makes me sick but then they don t think humans feel pain either all these friendsgiving post and my ass has never been invited to one how many innocent men will attend oscar next year 5 or 6 don t make me dislike you  😕😏😂😭😜😎,1,-1,joy,2,"{'CONFUSED FACE': 4, 'SMIRKING FACE': 1, 'FACE WITH TEARS OF JOY': 2, 'LOUDLY CRYING FACE': 1, 'winking face with tongue': 4, 'SMILING FACE WITH SUNGLASSES': 1}",😕😏😂😭😜😎
232,232,angie stone wish i didnt miss you has me by the throat  😭,0,0,anger,4,{'LOUDLY CRYING FACE': 1},😭
